id,sqm,room,type,price,description,agency,url,region,date
13540521,31,1,Tégla,36.9,"Rövidtávú kiadásra (airbnb) tökéletes! Legjobb lokáció!
A Ferenciek tere mellett, a Grinzingi borozóval szemben álló épület harmadik szintjén helyezkedik el ez a nagyoncsöndes szuper garzon, amely akár jelen állapotában, akár állógaléria építéssel szolgálhat remek...",,https://www.oc.hu/ingatlanok/H393835?c=1b06e8e0,H393835,2019-09-18
12625576,33,1,Tégla,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2019-09-18
13243082,30,1 + 1 félszoba,Tégla,37.5,"FELÚJÍTOTT LAKÁS A SZENT ISTVÁN KÖRÚTON
Eladó egy 2. emeleti, utcai nézetű 1+1 szobás, 30 m2-es lakás a Szent István körút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391785?c=1b06e8e0,H391785,2019-09-18
13247999,32,1,Tégla,39.9,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2019-09-18
11056509,32,1,Tégla,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2019-09-18
13205004,28,1,Tégla,47,"V. Garibaldi utca
V. kerület egyik legkedveltebb utcájában eladó ez a 28nm-es lakás.
Liftes szép épület, a lakás a IV. emeleten van....",,https://www.oc.hu/ingatlanok/H391318?c=1b06e8e0,H391318,2019-09-18
13540521,31,1,Tégla,36.9,"Rövidtávú kiadásra (airbnb) tökéletes! Legjobb lokáció!
A Ferenciek tere mellett, a Grinzingi borozóval szemben álló épület harmadik szintjén helyezkedik el ez a nagyoncsöndes szuper garzon, amely akár jelen állapotában, akár állógaléria építéssel szolgálhat remek...",,https://www.oc.hu/ingatlanok/H393835?c=1b06e8e0,H393835,2019-09-18
12625576,33,1,Tégla,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2019-09-18
13243082,30,1 + 1 félszoba,Tégla,37.5,"FELÚJÍTOTT LAKÁS A SZENT ISTVÁN KÖRÚTON
Eladó egy 2. emeleti, utcai nézetű 1+1 szobás, 30 m2-es lakás a Szent István körút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391785?c=1b06e8e0,H391785,2019-09-18
13247999,32,1,Tégla,39.9,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2019-09-18
11056509,32,1,Tégla,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2019-09-18
13205004,28,1,Tégla,47,"V. Garibaldi utca
V. kerület egyik legkedveltebb utcájában eladó ez a 28nm-es lakás.
Liftes szép épület, a lakás a IV. emeleten van....",,https://www.oc.hu/ingatlanok/H391318?c=1b06e8e0,H391318,2019-09-18
13540521,31,1,Tégla,36.9,"Rövidtávú kiadásra (airbnb) tökéletes! Legjobb lokáció!
A Ferenciek tere mellett, a Grinzingi borozóval szemben álló épület harmadik szintjén helyezkedik el ez a nagyoncsöndes szuper garzon, amely akár jelen állapotában, akár állógaléria építéssel szolgálhat remek...",,https://www.oc.hu/ingatlanok/H393835?c=1b06e8e0,H393835,2019-09-24
13617162,31,1,Tégla,34.9,"Rejtett kis ékszerdoboz várja következő tulajdonosát 5 perc sétára a Deák & Astoria közelében nyugodt kismellékutcában.
...",,https://www.oc.hu/ingatlanok/H394360?c=1b06e8e0,H394360,2019-09-24
12625576,33,1,Tégla,44.3,"Garzonlakás a Váci utcában
Felújítandó egy szobás lakás eladó a Váci utcában. Panorámás a Vásárcsarnokra, és az ablakból jóllátszik a Szabadság híd és a Műegyetem is. ...",,https://www.oc.hu/ingatlanok/H387534?c=1b06e8e0,H387534,2019-09-24
13243082,30,1 + 1 félszoba,Tégla,37.5,"FELÚJÍTOTT LAKÁS A SZENT ISTVÁN KÖRÚTON
Eladó egy 2. emeleti, utcai nézetű 1+1 szobás, 30 m2-es lakás a Szent István körút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391785?c=1b06e8e0,H391785,2019-09-24
13247999,32,1,Tégla,39.9,"Eladó egy 2. emeleti, utcai nézetű 1 szobás, galériázott, 32 m2-es (+ 7 m2 galéria!) lakás a Szent Istvánkörút V. kerületi oldalán.
A legutolsó közgyűlésen döntöttek a tetőtér értékesítéséről, amelynek köszönhetően a homlokzat...",,https://www.oc.hu/ingatlanok/H391787?c=1b06e8e0,H391787,2019-09-24
11056509,32,1,Tégla,49.9,"Garzonlakás a Károly körúton az Akváriumnál
Eladó tégla lakás a Károly körúton, 2-ik emeleti, teljesen felújítandó 32nm+5nm előtér közös, délnyugati,dupla francia erkélyes, kiváló airbnb-re, zárt szép lépcsőházzal, karbantartott házban. ...",,https://www.oc.hu/ingatlanok/H376578?c=1b06e8e0,H376578,2019-09-24
13205004,28,1,Tégla,46,"V. Garibaldi utca
V. kerület egyik legkedveltebb utcájában eladó ez a 28nm-es lakás.
Liftes szép épület, a lakás a IV. emeleten van....",,https://www.oc.hu/ingatlanok/H391318?c=1b06e8e0,H391318,2019-09-24
13540521,31,1,Tégla,36.9,"Rövidtávú kiadásra (airbnb) tökéletes! Legjobb lokáció!
A Ferenciek tere mellett, a Grinzingi borozóval szemben álló épület harmadik szintjén helyezkedik el ez a nagyoncsöndes szuper garzon, amely akár jelen állapotában, akár állógaléria építéssel szolgálhat remek...",,https://www.oc.hu/ingatlanok/H393835?c=1b06e8e0,H393835,2019-09-30
